product_name,brand,sub_category,price,rating,review_count,image_url,source,source_url
아미 스몰 하트 로고 코튼 옥스포드 버튼 다운 셔츠 내츄럴 화이트,AMI,긴소매셔츠,244000,46,26.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMTI1/MDAxNzUzODgxNDI4MTQ0.2LhI-yM6EPg7jWqwKyIxqCzkMXQ3p7c94vW3NC5gp8Yg.wJPySw2DIrSi99OdDeiwm58fJeKQs9KRbPggThA6qiog.PNG/a_38e54b206f394ff391e5a506686fca9e.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/354785
나이키 대한민국 스트라이크 원터 워리어 사커 드릴 탑 블랙,Nike,긴소매셔츠,80000,36,80.0,https://kream-phinf.pstatic.net/MjAyNTExMjBfMjU4/MDAxNzYzNjAxNTkyMTEy.1fXvAptWG0vAABKDcKsxsP2qr1KF7IyPCoW8n2qI1zwg.4sQxTgAkBUINdwHqSkHzLIViUkV68AXJugSndgbDfyUg.PNG/a_903f3284760241dd83ad949820d59d24.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/206100
플레이 꼼데가르송 스트라이프 블랙 하트 셔츠 블루,Play Comme des Garcons,긴소매셔츠,245000,35,121.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMTYx/MDAxNzUzODgxODYyNjgy.IvMgQ1WtqoUmXFfc6A9chW5yfCWkPFiZf7h4IzSgmLgg.Lh8QmbO_WUfliXvRiQLejGCSUGNrV1kTgKUqS5vniU0g.PNG/a_65a314656d994bf18e3583b21b6db8aa.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/58664
아미 스몰 하트 로고 코튼 옥스포드 버튼 다운 셔츠 스카이 블루,AMI,긴소매셔츠,256000,43,46.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMzcg/MDAxNzUzODgyNTQ2ODUw.zudBv6zsTvOhc6DFSsK6MUqeYpS2U-UzKfEcO_wzemIg.deDOQHKQwagvgVl3FPEIgKymmcX8ukd3XngHRGm4qCwg.PNG/a_872c0863946840d6bf9314a9f86e40f2.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/399854
아워레가시 보로우드 셔츠 블랙 시어 섀도우 체크,Our Legacy,긴소매셔츠,349000,48,2.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMTI0/MDAxNzUzODgyNDAwNjYy.W4F_VGfbOGNcHhE1JCQDctQt-rZz2SNppaLWPhieNvQg.p7W-9ng_6Yk0tSnrr4DT64EIuUHf0j3wMsVtc6_i8bcg.PNG/a_2e11e416633e4d41a1b14ed48af66699.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/445381
아더에러 시그니피컨트 TRS/BL 태그 셔츠 01 화이트,Ader Error,긴소매셔츠,274000,0,12.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMiAg/MDAxNzUzODgyMDAwNjM1.b-wQ5-JfNQJpnPF8CwplBySP3guXvOzD2d9L40sYmjwg.nddVtxod7pTDtDwqGLKRWniwIhjW29XEni7ENudTZ6cg.PNG/a_1944bef640e24ca59ce431037ed07a3b.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/432491
언더마이카 무.32 안티 Fxxking 로고 플레이 베이직 롱 슬리브 체크 셔츠 블랙 그레이,Undermycar,긴소매셔츠,119000,0,121.0,https://kream-phinf.pstatic.net/MjAyNjA0MTZfMjUg/MDAxNzc2MzI3MDk1MTMx.QMscnOoPqu0Wnk9a9AtUMMQuMhtvZ-hGgdtcIfeBoVcg.rXp4o9qF9J4BfFmH6ZX01mmOAumbvC-AtqIwIiIN6gwg.PNG/p_3dbfffbdead74ec6ab8b719aaa812d20.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/288264
자라 x 아더에러 스트라이프 포플린 셔츠 스트라이프,Zara,긴소매셔츠,165000,0,117.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfNTIg/MDAxNzUzODgyMDg5OTA3.Yp7xX4Ug2SRBLvmuJ2Qg8xwK7aBQbDcnFg0e93LNVe4g.WM-Invn0_1f3Fc1jzj6-aQXVPgKfWl8Uj6gDSr7c0Hkg.PNG/a_57ad0c2a09fc406f9b7eb57e77dde464.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/87986
나이키 리버풀 FC 스트라이크 3rd 풋볼 드릴 탑 라이트 스모크 그레이 크롬 옐로우 (논 마킹 버전),Nike,긴소매셔츠,75000,24,95.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMTYy/MDAxNzUzODgxNDkzNTcx.3ZAzd8fwEyhsNI6WTDRdE4KGrAZ11kQ4Ab0lipN7ZOIg._zFgs6CRm0xZ8I0sU907qW3l07EdYLuH_BcDLLaUmzwg.PNG/a_1085f710551d4bafb9bac40179986320.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/364321
논노드 와이어 셔츠 블루,Nonnod,긴소매셔츠,189000,0,11.0,https://kream-phinf.pstatic.net/MjAyNjA0MTVfMjUg/MDAxNzc2MjQ1MTkwNjMx.kqIODr89MWAuwV-DN-gRgZCjN7P2_Jpo9A4Mwuk3QMcg.SH4slxDPU92xj80BHH8gbwzJktzwtKt1Q3d_SVdLU_Mg.PNG/a_7b7205c53d4343ad8d57d23509bfffdb.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/882906
슈프림 스몰 박스 데님 셔츠 블랙 - 25SS,Supreme,긴소매셔츠,315000,0,359.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfODcg/MDAxNzUzODgyMjM3MTAw.-z-QyBTfkaPum_aR0cCUS8mPXT6OviZO49DLxYKfkMMg.sggpnkmYDF8oiPJxfO0uK8_KCbuKIF6UIsyhzSi2_F0g.PNG/a_573b34aabb01438f8d2402d91d5dad65.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/453058
팔라스 x 갭 옥스포드 드랍 숄더 화이트 - 24SS,Palace,긴소매셔츠,211000,0,107.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMiAg/MDAxNzUzODgxNTQ5MjQ0.VhOWuxeofMDOME9zCj0CA1xqGQ-jIjAERUpPju-WP0sg.eu12HxjDGX1OtwK9I53rCh_snMh0Hk6qdAyfhJZ17cwg.PNG/a_136502a91b3146ad8f799e46c8f8d820.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/267535
톰브라운 옥스포드 클래식 그로그랭 플래킷 셔츠 화이트,Thom Browne,긴소매셔츠,430000,39,59.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfNzUg/MDAxNzUzODgxODY3NTM1.nw3DyAxQqRT5PG4B4s8guHzE7ZMAbU30UaVOQd2k86gg.6vMguAi0awQfV06yRgtmZe8T6S4jrU92Cjg5yQcwDaYg.PNG/a_7686b8e62f47453abe77c888749d3ca6.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/196182
리바이스 x 조던 오버셔츠 자켓 인디고,Levi's,긴소매셔츠,310000,0,32.0,https://kream-phinf.pstatic.net/MjAyNjAzMTdfMjYx/MDAxNzczNzIyOTg1NjA0.rXxXai2qI1oABnfeSUCEZB_pWkOCAynYdI3dU2v0p6Qg.WXP6hHRbyCSSHGr2MMORC-a0VKnXwZvsh2CjcESqaKgg.PNG/a_4ee430039fab45d4bb7ada3583b85b15.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/796741
우영미 코튼 백로고 셔츠 블루 - 25SS,Wooyoungmi,긴소매셔츠,450000,13,21.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMTc0/MDAxNzUzODgxNzU1MzA2.FZhUBdi9kK1lgKfcYtYvnAVyla8DKSG-Jifm1MRUY3Ag.lkWE-BmrPi0nYLvI7fIkjXEZUGS6DukxXWT9WBeqatQg.PNG/a_aba534a896164a26a5fef5c5d936af9b.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/435901
나이키 스트라이드 드라이핏 1/4 집 러닝 탑 스모크 그레이 헤더 - 아시아,Nike,긴소매셔츠,51000,0,22.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMTAw/MDAxNzUzODgxNTA3NDMx.a667C64XG0N2YEE6WuSN1JACKQzpRA56gOKNHIINJFUg.B7LyyxZySTXHARp9mzUcYjaRxCsecCp_4g2NwElXHmMg.PNG/a_b1779426f0a44c8bbfc99718f16238b2.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/418846
아디다스 아스널 티로 24 트레이닝 탑 오로라 블랙 - KR 사이즈,Adidas,긴소매셔츠,75000,15,26.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMjY1/MDAxNzUzODgxNjk5Mjc1.88GFxtQO-KWwkMPYsUsV0ftklxx7KT45UN3PTL83Xkcg.2fEa5aMjVqrYXS9kFB8z4L6FeZsEy9quCGLgDHdn3tMg.PNG/a_34ce9cd8ed57485e8bf7d163002144e8.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/410671
메종 키츠네 옥스포드 인스티투셔널 헤드 패치 버튼 다운 클래식 셔츠 화이트,Maison Kitsune,긴소매셔츠,168000,48,3.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMTkx/MDAxNzUzODgyNTMyNjY0.BABzmszFq-i6k9zPtTbVCSYfsF5-zZF4bsrEaE9w1rog.Yb2sziuMi64tkpqbkDZJFPlF2E3VgfWR1nrEd05L6Gkg.PNG/a_68a4c20e61754256b08192764e39e7d4.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/191892
(W) 플레이 꼼데가르송 스트라이프 블랙 하트 셔츠 블루,Play Comme des Garcons,긴소매셔츠,190000,46,17.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMyAg/MDAxNzUzODgxNzEyNzg0.VRV_SRwlwu8DbwYXjxAntA2pKU-AFrFgnaTbRKgKb44g.luDztgvQ4eBI9IpPabKC-w3_gnkNcIy9YZ4E9vZs7Bgg.PNG/a_240d2a5a303f46d8a8cc0862db2c33af.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/58665
