product_name,brand,category,price,discount_rate,rating,review_count,image_url,source,source_url
액티브 에어로 마스크_Black YUA23Z01Z1,다이나핏,기타 장비/용품,10000,74.0,5.0,1,https://img.29cm.co.kr/next-product/2026/02/19/300c47deeede492290c70164561e79a4_20260219144032.jpg,29CM,https://product.29cm.co.kr/catalog/3796464?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
컴포티 헤드밴드 (3color),윌슨,기타 장비/용품,25000,0.0,5.0,1,https://img.29cm.co.kr/item/202602/11f1108d54344246a540cd94610d559e.png,29CM,https://product.29cm.co.kr/catalog/3713896?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
Football pouch charm,다디바,기타 장비/용품,39000,0.0,4.0,1,https://img.29cm.co.kr/item/202601/11f0f02772d02680a3c0f7373542e051.jpg,29CM,https://product.29cm.co.kr/catalog/3718315?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
베이직 심볼 암밴드_Black YUA23Z08Z1,다이나핏,기타 장비/용품,9000,69.0,0.0,0,https://img.29cm.co.kr/next-product/2026/02/19/79b272151ebc4987ad5c6cee47639979_20260219143720.jpg,29CM,https://product.29cm.co.kr/catalog/3796439?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
액티브 스킨 4_LC2178400,살로몬,장비/용품,150000,0.0,5.0,1,https://img.29cm.co.kr/item/202603/11f1236a5a0c311ca3c0b79e2171613b.png,29CM,https://product.29cm.co.kr/catalog/3209934?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
레터링 우드 티 83mm 40pcs,제이미웨스트,장비/용품,24800,0.0,0.0,0,https://img.29cm.co.kr/item/202502/11efeaaa8c0a4dc88f0a79a26b02e6b1.jpg,29CM,https://product.29cm.co.kr/catalog/3077566?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
UV 차단 초냉감 팔토시 Ice Gray (S26ZUTSU62),스노우피크 어패럴,기타 장비/용품,33250,5.0,0.0,0,https://img.29cm.co.kr/next-product/2026/04/24/fc04d86aac7647678ed2020ab0cf34f5_20260424140019.jpg,29CM,https://product.29cm.co.kr/catalog/3951086?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
JWGC 프래그런스 행 태그 세트,제이미웨스트,장비/용품,17800,0.0,0.0,0,https://img.29cm.co.kr/item/202502/11efee5b7395db508f0ae308734d53f0.jpg,29CM,https://product.29cm.co.kr/catalog/3087408?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
러닝 벨트 - 라이트그레이,포몬스터,기타 장비/용품,24000,0.0,0.0,0,https://img.29cm.co.kr/item/202603/11f12c9cc589aab59454c91a82aa41d0.jpg,29CM,https://product.29cm.co.kr/catalog/3865658?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
Baseball pouch charm,다디바,기타 장비/용품,39000,0.0,0.0,0,https://img.29cm.co.kr/item/202601/11f0f0282db59c5aa54099a85da451f6.jpg,29CM,https://product.29cm.co.kr/catalog/3718327?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
액티브 스킨 4 W_LC2178800,살로몬,기타 장비/용품,150000,0.0,0.0,0,https://img.29cm.co.kr/item/202603/11f12368d9c2a8cca3c09f72f89a907f.png,29CM,https://product.29cm.co.kr/catalog/3707829?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
커스텀 퀴버_LC2093100,살로몬,기타 장비/용품,50000,0.0,0.0,0,https://img.29cm.co.kr/item/202603/11f1234f8dd2642aa540e1a8b483ef22.png,29CM,https://product.29cm.co.kr/catalog/3864517?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
OSSAK 썬가드 팔토시_White_KUA26910W2,케이투,기타 장비/용품,22000,0.0,0.0,0,https://img.29cm.co.kr/item/202602/11f111558b14bbc4a540a1347054d3df.JPG,29CM,https://product.29cm.co.kr/catalog/3808448?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
BASIC 팔토시_White_KUA26909W2,케이투,기타 장비/용품,19000,0.0,0.0,0,https://img.29cm.co.kr/item/202602/11f11155c0e6806ca540797047b4e97a.JPG,29CM,https://product.29cm.co.kr/catalog/3808453?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
BASIC 팔토시_Black_KUA26909Z1,케이투,기타 장비/용품,19000,0.0,0.0,0,https://img.29cm.co.kr/item/202602/11f11155b24897aea54049e12a39fcfd.JPG,29CM,https://product.29cm.co.kr/catalog/3808450?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
넉넉 UV차단 암슬리브 3종,마른파이브,장비/용품,12500,34.0,5.0,8,https://img.29cm.co.kr/item/202509/11f08a11a438d39eb69c991d802cbb05.jpg,29CM,https://product.29cm.co.kr/catalog/3507052?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
액티브 스킨 4 W_LC2859200,살로몬,기타 장비/용품,150000,0.0,0.0,0,https://img.29cm.co.kr/item/202603/11f12369565e137ca3c0c764c16b3245.png,29CM,https://product.29cm.co.kr/catalog/3706255?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
소프트 플라스크 500ml 울트라_LC2337700,살로몬,기타 장비/용품,40000,0.0,0.0,0,https://img.29cm.co.kr/item/202603/11f1234caebf384ea3c013fd27941ea2.png,29CM,https://product.29cm.co.kr/catalog/3864526?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
소프트 플라스크 250ml_LC1986400,살로몬,기타 장비/용품,30000,0.0,0.0,0,https://img.29cm.co.kr/item/202603/11f1234da26aacb8a3c0a75bb2554a42.png,29CM,https://product.29cm.co.kr/catalog/3864525?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
소프트 플라스크 150ml_LC1916100,살로몬,기타 장비/용품,25000,0.0,0.0,0,https://img.29cm.co.kr/item/202603/11f1234ddefe7d7aa540f9279ecd79ff.png,29CM,https://product.29cm.co.kr/catalog/3864524?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
아스트록스 88D 게임 4U (2024) 헤드커버 포함 배드민턴 라켓,요넥스,장비/용품,121000,61.0,0.0,0,https://img.29cm.co.kr/next-product/2025/10/21/e42acd79612b4a519e3332d612b84cb6_20251021093449.jpg,29CM,https://product.29cm.co.kr/catalog/3594522?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
러닝 경량 하네스,프로스펙스,기타 장비/용품,89000,0.0,0.0,0,https://img.29cm.co.kr/next-product/2026/03/16/0472d0da93b044f9824432f100d228d0_20260316122033.jpg,29CM,https://product.29cm.co.kr/catalog/3854925?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
펄스 슬링 벨트_LC2710900,살로몬,기타 장비/용품,45000,0.0,0.0,0,https://img.29cm.co.kr/item/202604/11f13fb4dbc7beee85ee015289cabf73.png,29CM,https://product.29cm.co.kr/catalog/3953631?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
워시백 트래블 S,마무트,기타 장비/용품,59000,0.0,0.0,0,https://img.29cm.co.kr/next-product/2026/02/12/3ba126d4a822405b88915a93ae90fce0_20260212141338.jpg,29CM,https://product.29cm.co.kr/catalog/3786859?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
퓨어 퍼프 미니 원피스,그노노이,미니 원피스,78030,36.0,5.0,31,https://img.29cm.co.kr/item/202604/11f12d972005d2b1b49327863cd87d88.jpg,29CM,https://product.29cm.co.kr/catalog/3899068?categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=
[헤이가가 PICK] RUFFLE LACE SLEEVELESS CAMI TOP LAYERED DRESS (MINT),론크,롱 원피스,119680,36.0,5.0,5,https://img.29cm.co.kr/item/202604/11f12d7d1601e21fb493db3a7b4afbe0.jpg,29CM,https://product.29cm.co.kr/catalog/3838258?categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=
[29CM 단독]Bridal Still Line One-piece_charcoal,가니송,롱 원피스,182070,24.0,4.5,38,https://img.29cm.co.kr/item/202602/11f108a6482ba8faa54091991d227162.jpg,29CM,https://product.29cm.co.kr/catalog/3792611?categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=
Bohemian Pintuck Mini Dress / Khaki,아우어솔티,미니 원피스,218190,21.0,5.0,16,https://img.29cm.co.kr/item/202603/11f118b26f9559b6a3c0459f0687ee15.jpg,29CM,https://product.29cm.co.kr/catalog/3821051?categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=
Hem String Layered Dress Black,미치코런던 코시노,롱 원피스,96100,19.0,4.5,72,https://img.29cm.co.kr/item/202602/11f1061a706b42f0a54071ba28d404ca.jpg,29CM,https://product.29cm.co.kr/catalog/3748943?categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=
"[헤이가가,지구,소라 PICK] RUFFLE LACE SLEEVELESS CAMI TOP LAYERED DRESS (IVORY)",론크,롱 원피스,119680,36.0,5.0,14,https://img.29cm.co.kr/item/202604/11f12d7b0733ab9794549786c8ad049b.jpg,29CM,https://product.29cm.co.kr/catalog/3838261?categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=
comos 1727 drape wrap button dress (ash blue),아워코모스,미디 원피스,119680,36.0,4.0,5,https://img.29cm.co.kr/item/202603/11f12984051b1a71b493b5d3f505bd71.jpg,29CM,https://product.29cm.co.kr/catalog/3876479?categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=
Wrap-Tied Draped Sleeveless Dress SW6MO750_2color,루에브르,롱 원피스,167540,23.0,5.0,6,https://img.29cm.co.kr/item/202604/11f133e980a2b78089a0bbbf376b24c3.jpg,29CM,https://product.29cm.co.kr/catalog/3911307?categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=
Overlay Scarf Dress_2color,플로움,롱 원피스,318000,11.0,5.0,74,https://img.29cm.co.kr/item/202508/11f07269df7c411c889307a519027baf.jpg,29CM,https://product.29cm.co.kr/catalog/3404496?categoryLargeCode=268100100&categoryMediumCode=268104100&categorySmallCode=
